41,Min Stack,Stack,Medium,https://www.youtube.com/watch?v=To2iap-ac3g,https://leetcode.com/problems/min-stack/
42,Evaluate Reverse Polish Notation,Stack,Medium,https://www.youtube.com/watch?v=vDRZN5i4b8U,https://leetcode.com/problems/evaluate-reverse-polish-notation/
43,Generate Parentheses,Stack,Medium,https://www.youtube.com/watch?v=VzMyeCMLdPI,https://leetcode.com/problems/generate-parentheses/
44,Daily Temperatures,Stack,Medium,https://www.youtube.com/watch?v=jmuo4BBfl3I,https://leetcode.com/problems/daily-temperatures/
45,Car Fleet,Stack,Medium,https://www.youtube.com/watch?v=TPSiTAFhszA,https://leetcode.com/problems/car-fleet/
46,Search a 2D Matrix,Binary Search,Medium,https://www.youtube.com/watch?v=dP4cb8zbohY,https://leetcode.com/problems/search-a-2d-matrix/
47,Koko Eating Bananas,Binary Search,Medium,https://www.youtube.com/watch?v=3m3QZeiH3KI,https://leetcode.com/problems/koko-eating-bananas/
48,Find Minimum In Rotated Sorted Array,Binary Search,Medium,https://www.youtube.com/watch?v=Dr69TSfv9JI,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
49,Search In Rotated Sorted Array,Binary Search,Medium,https://www.youtube.com/watch?v=sE_4DzVc71w,https://leetcode.com/problems/search-in-rotated-sorted-array/
50,Time Based Key Value Store,Binary Search,Medium,https://www.youtube.com/watch?v=u08L8DaDoOU,https://leetcode.com/problems/time-based-key-value-store/
51,Reorder List,Linked List,Medium,https://www.youtube.com/watch?v=lBdS4AV1EGw,https://leetcode.com/problems/reorder-list/
52,Remove Nth Node From End of List,Linked List,Medium,https://www.youtube.com/watch?v=hZtAW3cp8vQ,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
53,Copy List With Random Pointer,Linked List,Medium,https://www.youtube.com/watch?v=vy7ZJ4TdyS8,https://leetcode.com/problems/copy-list-with-random-pointer/
54,Add Two Numbers,Linked List,Medium,https://www.youtube.com/watch?v=MYtp__JpTns,https://leetcode.com/problems/add-two-numbers/
55,Find The Duplicate Number,Linked List,Medium,https://www.youtube.com/watch?v=Lu3if4xOA1s,https://leetcode.com/problems/find-the-duplicate-number/
56,LRU Cache,Linked List,Medium,https://www.youtube.com/watch?v=VPq5dlxaeP8,https://leetcode.com/problems/lru-cache/
